chain,chain_id,symbol,name,address,amount,decimals,price_usd,value_usd,pool_size,low_liquidity
base,8453,USA,BASED USA,0xb56d0839998fd79efcd15c27cf966250aa58d6d3,1000000000000000000,18,0.00021302271741097383,0.00021302271741097383,28978.35121667653,
ethereum,1,SUBF,Super Best Friends,0x564a80d0123bdd750fb6a9993834968fc595c09a,420690000000000000000000,18,4.27242735624195e-10,0.0001797367464497426,8687.048926237765,True
ethereum,1,BQT,BQT,0x5eb87caa0105a63aa87a36c7bd2573bd13e84fae,100000000000000000,18,0.0010806716814301467,0.00010806716814301467,4314.7864290127845,True
base,8453,BETS,All Street Bets,0x42069de48741db40aef864f8764432bbccbd0b69,4200000000000000000,18,1.5143058785042456e-05,6.360084689717831e-05,38610.06224935918,
ethereum,1,MATT,MATT,0x7087c92ec764e75e7be7701eba15cd95d90f501f,69000000000000000000,18,6.392118525163579e-07,4.4105617823628695e-05,13025.108486398061,
ethereum,1,FREE,Free Coin,0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,500000000000000000000,18,8.509363922199919e-08,4.2546819610999596e-05,15830.287758932267,
polygon,137,VOXEL,VOXEL Token,0xd0258a3fd00f38aa8090dfee343f10a9d4d30d3f,418500000000000,18,0.09436295137803517,3.949089515170772e-05,6972.997849822175,True
base,8453,WAZ,MikeAI,0x5efc4446e1d772428adbd6053a0421ca7b3ed85a,69000000000000000000,18,3.086273815967424e-07,2.1295289330175224e-05,17665.093430539608,
base,8453,9MM,Shigure UI,0x340c070260520ae477b88caa085a33531897145b,207000000000000000,18,7.778277077558264e-05,1.6101033550545606e-05,17723.47922472598,
polygon,137,PolyDoge,PolyDoge,0x8a953cfe442c5e8855cc6c61b1293fa648bae472,2222000000000000000000,18,6.300569594201708e-09,1.3999865638316195e-05,359.98868717072014,True
polygon,137,SPONGE,Sponge,0x53df32548214f51821cf1fe4368109ac5ddea1ff,1000000000000000002,18,9.766843081909982e-06,9.766843081909982e-06,24634.02193546593,
ethereum,1,BICYCLE,BICYCLE TOKEN,0x6e5e9afb201a2d8d46fa518ae598c629c5b970a3,1000000000000000000000000,18,8.14113525132e-12,8.14113525132e-06,2515.243649962977,True
ethereum,1,SHI,Shina Inu,0x243cacb4d5ff6814ad668c3e225246efa886ad5a,10000000000000000000,18,6.127793701664233e-07,6.127793701664234e-06,878632.1746024074,
ethereum,1,CRE,CarryToken,0x115ec79f1de567ec68b7ae7eda501b406626478e,5000000000000000,18,0.0005398083218832771,2.6990416094163853e-06,269.7413398689026,True
ethereum,1,BGBG,BigMouthFrog,0x53fffb19bacd44b82e204d036d579e86097e5d09,1082891385439974155166,18,4.7786865780915e-11,5.1747985291329134e-08,10535.692309344522,
base,8453,ROCKY,ROCKY,0x3636a7734b669ce352e97780df361ce1f809c58c,1000000000000,18,0.0020155398917247936,2.0155398917247936e-09,109507.3001821028,
